code,generic_name,brand,cat,unit,weight,image,name
0000000000000010,,,,Kg,0.0,,
000000000000010,,,,Kg,0.0,,
0000000000017,,,,Kg,0.0,000/000/000/0017/front_fr.4.400.jpg,Vitória crackers
0000000000031,,,,Kg,0.13,000/000/000/0031/front_fr.3.400.jpg,Cacao
0000000000123,,,,Kg,0.0,000/000/000/0123/front_fr.4.400.jpg,Sauce sweety chili 0%
0000000000178,,,,Kg,0.0,000/000/000/0178/front_fr.4.400.jpg,Mini coco
0000000000208,,,,Kg,0.0,000/000/000/0208/front_fr.4.400.jpg,Pistou d'ail des ours
0000000000284,,,,Kg,0.0,000/000/000/0284/front_fr.4.400.jpg,Pain maïs
0000000000291,,,,Kg,0.0,000/000/000/0291/front_fr.4.400.jpg,Mendiants
0000000000949,,,Plats préparés,Kg,0.0,000/000/000/0949/front_fr.4.400.jpg,Salade de carottes râpées
0000000000970,,,,Kg,0.0,000/000/000/0970/front_fr.4.400.jpg,Fromage blanc aux myrtilles
0000000001001,,,,Kg,0.0,,
0000000001007,,,,Kg,0.0,000/000/000/1007/front_fr.4.400.jpg,Vainilla
0000000001137,,,,Kg,0.0,000/000/000/1137/front_fr.4.400.jpg,Baguette parisien
0000000001151,,,,Kg,0.0,000/000/000/1151/front_fr.4.400.jpg,&quot;baguette lyonnais&quot;
0000000001199,,CROUS,,Kg,0.0,000/000/000/1199/front_fr.13.400.jpg,Solène céréales poulet
0000000001281,,"Crous Resto',Crous",Tartes,Kg,0.0,000/000/000/1281/front_fr.11.400.jpg,Tarte noix de coco
0000000001311,,,,Kg,0.0,000/000/000/1311/front_fr.4.400.jpg,Salade de fruits exotiques
0000000001328,,,,Kg,0.0,000/000/000/1328/front_fr.4.400.jpg,Chouquettes x 30
0000000001427,,,,Kg,0.0,000/000/000/1427/front_fr.4.400.jpg,Pain de maïs bio
